"Año","Mes","Provincia","Tramo de edad Víctima","Tramo de edad Agresor","Número de mujeres víctimas mortales"
"Año 2007","Junio","Alicante/Alacant","41-50 años","31-40 años","1.0"
"Año 2007","Junio","Alicante/Alacant","41-50 años","41-50 años","1.0"
"Año 2007","Junio","A Coruña","61-70 años","61-70 años","1.0"
"Año 2007","Junio","Murcia","41-50 años","31-40 años","1.0"
"Año 2007","Junio","Araba/Álava","31-40 años","41-50 años","1.0"
"Año 2007","Julio","Segovia","41-50 años","51-60 años","1.0"
"Año 2007","Julio","Toledo","21-30 años","31-40 años","1.0"
"Año 2007","Julio","Barcelona","41-50 años","51-60 años","1.0"
"Año 2007","Julio","Barcelona","71-84 años","61-70 años","1.0"
"Año 2007","Julio","Castellón/Castelló","41-50 años","51-60 años","1.0"
"Año 2007","Julio","Madrid","31-40 años","31-40 años","1.0"
"Año 2007","Julio","Murcia","31-40 años","21-30 años","1.0"
"Año 2007","Julio","Melilla","41-50 años","61-70 años","1.0"
"Año 2007","Agosto","Huelva","51-60 años","61-70 años","1.0"
"Año 2007","Agosto","Santa Cruz de Tenerife","51-60 años","51-60 años","1.0"
"Año 2007","Agosto","Santa Cruz de Tenerife","61-70 años","41-50 años","1.0"
"Año 2007","Agosto","Tarragona","21-30 años","21-30 años","1.0"
"Año 2007","Agosto","Alicante/Alacant","41-50 años","41-50 años","1.0"
"Año 2007","Agosto","Valencia/València","18-20 años","21-30 años","1.0"
"Año 2007","Agosto","Madrid","21-30 años","31-40 años","1.0"
"Año 2007","Septiembre","Teruel","51-60 años","51-60 años","1.0"
"Año 2007","Septiembre","Zaragoza","51-60 años","61-70 años","1.0"
"Año 2007","Septiembre","Barcelona","21-30 años","21-30 años","1.0"
"Año 2007","Septiembre","Tarragona","51-60 años","51-60 años","1.0"
"Año 2007","Octubre","Córdoba","31-40 años","31-40 años","1.0"
"Año 2007","Octubre","Málaga","21-30 años","21-30 años","1.0"
"Año 2007","Octubre","Sevilla","31-40 años","31-40 años","1.0"
"Año 2007","Octubre","Valladolid","51-60 años","51-60 años","1.0"
"Año 2007","Octubre","Madrid","41-50 años","41-50 años","1.0"
"Año 2007","Noviembre","Las Palmas","31-40 años","31-40 años","1.0"
"Año 2007","Noviembre","Cantabria","71-84 años","71-84 años","1.0"
"Año 2007","Noviembre","Barcelona","21-30 años","41-50 años","1.0"
